name,brand_name,classification,energy,fat,netCarbs,protein,sugar,fiber,calcium,sodium,satFat,transFat,polyUnsatFat,monoUnsatFat,omega3Fat,cholesterol,alcohol,potassium,iron,vitaminC
"Banana, raw, edible portion",- Average All Brands -,"Fruit, fresh",378.0,0.1,19.8,1.7,16.9,2.7,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.5,12.0
"Avocado, Hass, raw, edible portion",- Average All Brands -,"Fruit, fresh",855.0,21.2,0.6,2.0,0.6,2.8,12.0,4.0,5.1,,2.8,12.1,,0.0,0.0,520.0,,
"Weet-Bix, Original",Sanitarium,Breakfast Cereals,1490.0,1.4,67.0,12.4,3.3,11.0,,290.0,0.3,,,,,,0.0,340.0,10.0,
"Cookie Dough, 500ml Tub",Ben & Jerry's,Ice Creams,1130.0,15.0,31.0,4.0,25.0,,,56.0,9.2,,,,,,,,,
"Rump Steak, lean, raw",- Average All Brands -,Beef Cuts,511.0,4.6,0.0,20.2,0.0,0.0,,49.0,1.7,,,,,62.0,0.0,364.0,2.0,
Zinger Burger Box Meal,KFC Australia,Meals,4832.0,53.0,108.5,56.1,11.1,,,2253.0,8.5,,,,,,0.0,,,
Great Northern Super Crisp (3.5% alc.),Great Northern Brewing Co.,Beer,112.0,0.0,1.4,0.0,0.1,,,,,,,,,,2.8,,,
"Fish and Chips, fish only, battered, deep fried",- Average All Brands -,Meals,956.0,12.7,14.0,14.2,1.0,1.3,,230.0,3.9,,,,,25.0,0.0,223.0,,
Dairy Milk Milk Chocolate Block,Cadbury,Chocolates,2250.0,30.4,57.3,7.6,56.0,,,82.0,19.2,,,,,,0.0,,,
"Original Vodka Cruiser, All Flavours (4.6% alc.)",Vodka Cruiser,Alcoholic Soda,263.0,0.0,9.1,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,3.6,,,
